tên_bệnh,hội_chứng,triệu_chứng,bài_thuốc,vị_thuốc
Cảm mạo,Phong hàn,"Sợ lạnh, Sốt nhẹ, Không mồ hôi, Đau đầu",Ma hoàng thang,"Ma hoàng, Quế chi, Hạnh nhân, Cam thảo"
Cảm mạo,Phong nhiệt,"Sốt cao, Hơi sợ gió, Đau họng, Miệng khát, Ho đờm vàng",Ngân kiều tán,"Kim ngân hoa, Liên kiều, Bạc hà, Cát cánh, Ngưu bàng tử, Trúc diệp, Kinh giới, Đạm đậu xị, Cam thảo"
Cảm mạo,Thử thấp,"Sốt, Ra mồ hôi không giải nhiệt, Nặng đầu, Tức ngực, Buồn nôn",Tân gia hương nhu ẩm,"Hương nhu, Hậu phác, Bạch biển đậu, Kim ngân hoa, Liên kiều"
Cảm mạo,Khí hư,"Sốt, Sợ lạnh, Mệt mỏi, Ho, Khạc đờm trắng",Sâm tô ẩm,"Đảng sâm, Tô diệp, Cát căn, Tiền hồ, Bán hạ, Phục linh, Trần bì, Mộc hương, Chỉ xác, Cam thảo, Sinh khương, Đại táo"
Cảm mạo,Âm hư,"Sốt nhẹ, Hơi sợ gió, Đau đầu, Khô họng, Ho khan ít đờm",Gia giảm uy nhuy thang,"Ngọc trúc, Thông bạch, Cát cánh, Đạm đậu xị, Bạc hà, Cam thảo, Bạch vị, Táo trắng"
Khái thấu,Phong hàn phạm phế,"Ho đờm trắng loãng, Ngạt mũi, Chảy nước mũi, Sợ lạnh",Tam ảo thang hợp Chỉ thấu tán,"Ma hoàng, Hạnh nhân, Cam thảo, Tử uyển, Bách bộ, Cát cánh, Kinh giới, Bạch tiền, Trần bì"
Khái thấu,Phong nhiệt phạm phế,"Ho đờm vàng đặc, Khô họng, Sốt, Sợ gió",Tang cúc ẩm,"Tang diệp, Cúc hoa, Hạnh nhân, Liên kiều, Bạc hà, Cát cánh, Cam thảo, Vi căn"
Khái thấu,Phong táo thương phế,"Ho khan không đờm, Khô mũi họng, Đau họng, Khát nước",Tang hạnh thang,"Tang diệp, Hạnh nhân, Sa sâm, Tượng bối, Đạm đậu xị, Sơn chi, Lê bì"
Khái thấu,Đàm thấp uẩn phế,"Ho đờm nhiều, Đờm trắng dính, Tức ngực, Chán ăn",Nhị trần thang hợp Tam tử dưỡng thân thang,"Bán hạ, Trần bì, Phục linh, Cam thảo, Bạch giới tử, Tô tử, La bạc tử"
Khái thấu,Phế âm hư,"Ho khan ít đờm hoặc trong đờm có máu, Miệng khô họng rát, Đổ mồ hôi trộm",Bách hợp cố kim thang,"Bách hợp, Mạch môn, Sinh địa, Thục địa, Đương quy, Bạch thược, Bối mẫu, Cát cánh, Huyền sâm, Cam thảo"
