tên_bệnh,hội_chứng,triệu_chứng,bài_thuốc,vị_thuốc
Ác lộ bất tuyệt,Khí hư,"Sau sinh quá thời gian bình thường sản dịch vẫn lai rai không ngừng, màu hồng nhạt, lượng nhiều, chất dẻo dính, không mùi hôi; cảm giác bụng dưới trệ xuống, tinh thần mỏi mệt; lưỡi hồng nhạt, rêu bình thường, mạch Hoãn nhược",Bổ trung ích khí gia giảm,"Đẳng sâm, Hoàng kỳ, Chích thảo, Thăng ma, Qui đầu, Sài hồ, Bạch truật, Trần bì, Ngải diệp sao đen. (Nếu cả khí huyết đều hư: dùng Thập toàn đại bổ thang)"
Ác lộ bất tuyệt,Huyết ứ,"Sinh xong đau bụng, ác lộ ra không dứt, màu huyết tím đen hoặc có cục; lưỡi có điểm ứ huyết, mạch Sáp",Sinh hóa thang gia giảm,"Đương quy, Xuyên khung, Đào nhân, Bào khương, Cam thảo, Tam thất, Ích mẫu. (Nếu miệng khô, họng khô, mạch Huyền Sác: thêm Địa du, Hoàng bá sao đen)"
Ác lộ bất tuyệt,Huyết nhiệt,"Ác lộ ra không dứt, sắc huyết đỏ tươi; tâm phiền, miệng khát nước; lưỡi hồng, mạch Sác",Bảo Âm Tiễn,"Sinh địa, Bạch thược, Hoài sơn, Tục đoạn, Hoàng cầm, Hoàng bá, Cam thảo, A giao, Hạn liên thảo, Ô tặc cốt"
Ách nghịch,Vị hàn,"Tiếng nấc trầm và thưa; dạ dày không yên, ưa nóng, ăn ít, bụng đầy; miệng nhạt không khát; rêu trắng nhuận, mạch trì hoãn",Ôn vị giáng nghịch phương,"Đẳng sâm, Đinh hương, Thị đế, Sinh khương, Giềng (Cao lương khương), Trích thảo. (Nếu có đờm trệ, ợ hơi có mùi, gia: Trần bì, Hậu phác, Chỉ thực)"
Ách nghịch,Vị nhiệt,"Tiếng nấc trong, nấc mạnh, nấc dồn; miệng hôi, buồn bực, khát nước; đại tiện táo, mặt đỏ; rêu vàng, mạch hoạt sác",Tiểu thừa khí thang gia giảm,"Đại hoàng, Hậu phác, Chỉ thực, Trúc nhự, Sinh khương, Trần bì, Hoàng cầm"
Ách nghịch,Tỳ thận dương hư,"Tiếng nấc nông và yếu; đoản khí, sắc mặt nhợt, chân tay mát; ăn ít, mệt mỏi; lưỡi nhạt, mạch trầm tế",Ôn thận nạp khí phương,"Đẳng sâm, Bạch truật, Can khương, Cam thảo, Phụ tử, Đinh hương, Phá cố chỉ, Ngũ vị tử"
Ách nghịch,Vị âm hư,"Tiếng nấc nhanh mà không liên tục; miệng khô, họng ráo, phiền khát buồn bực; lưỡi đỏ khô, mạch tế sác",Dưỡng vị thang gia giảm,"Ngọc trúc, Tang diệp, Sao biển đậu, Sa sâm, Cam thảo, Thạch hộc, Thị đế, Mạch môn"
Alzheimer,Can khí uất kết kèm đờm trệ,"Dễ tức giận, tâm phiền, uất ức, không muốn nói, hông sườn đầy tức đau, lưỡi bẩn, rêu lưỡi dày nhớt, mạch Hoạt",Can Uất Phương Gia Vị,"Xuyên khung, Đan sâm, Hồng hoa, Xích thược, Hương phụ, Bán hạ, Sài hồ, Thanh bì, Trần bì, Thạch xương bồ"
Alzheimer,Can Thận Âm Hư kèm Đờm Trệ,"Bệnh kéo dài, chóng mặt, đầu váng tê và rung chân tay, trí nhớ giảm, chậm chạp, mắt không còn thần, da mặt kém tươi, mồ hôi trộm, da khô, tức giận bất thường, run hoặc co rút cơ, nặng hơn không đi lại được, liệt nửa người, khó nói, lưỡi đỏ tối, rêu lưỡi trắng nhạt, mạch Tế Sác",Phương trị Can Thận Âm Hư kèm Đờm Trệ,"Thục địa, Phục linh, Sơn thù, Đan bì, Trạch tả, Xích thược, Bạch thược, Xuyên khung, Hồng hoa, Đào nhân, Xương bồ, Viễn trí"
Alzheimer,Tỳ Thận Dương Hư kèm Đờm Trệ,"Di chuyển chậm, mất trí nhớ lẫn nhân cách, nói khó, nặng hơn không nói được, không suy nghĩ gì được, nói lộn xộn, mất trí nhớ, tê chân tay, lưỡi tối nhạt, rêu lưỡi trắng, mạch Tế Hoạt Sáp",Phụ tử nam tinh uất kim Thang,"Sơn thù, Uất kim, Đào nhân, Chỉ sác, Đởm nam tinh, Hồng hoa, Nhục quế, Phụ tử"
